barcode,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22
cell_0013,1.0000468,1.0861688,0.98418033,0.9258101,0.9576483,1.0360937,0.90705526,1.0466591,1.0500039,1.0219772,1.0723385,0.9397648,0.8798467,0.9340273,0.9076252,1.0482042,1.0190438,1.0007677,1.0127783,1.0399597,1.0971503,1.0954459
cell_0014,0.9891963,0.9508916,0.9238084,0.9691635,0.92135584,0.94457686,1.0670283,0.90945625,1.020225,1.0411677,1.0563623,1.0374686,1.1238288,0.97380173,0.7947008,0.96061826,1.0454131,0.9968127,1.0799943,0.9817718,1.0048405,0.9054701
cell_0015,1.0147729,0.97161293,0.95065135,1.0208039,1.0561253,1.0676702,1.011427,0.93136716,0.9643878,0.9381803,0.9638349,0.9015745,0.83358693,1.0534803,0.93402916,1.0835075,0.98729444,0.9646615,0.8430146,1.0238498,0.94163316,1.0196029
cell_0016,0.97848713,0.9315124,0.9947752,1.0504352,1.0181088,1.0614384,0.99112487,0.9762418,1.1736279,1.1390656,1.1059312,0.83681846,0.8729316,0.87308854,1.1044906,0.9471728,0.8284495,0.8553856,0.986287,0.9085051,1.0528053,1.13679
cell_0017,0.99951506,0.92439485,0.9714391,0.9230023,1.0382005,1.0288223,0.94537765,0.8441854,0.9734715,1.0511343,0.9304939,1.0792626,0.98014903,1.0802516,1.129857,1.0374806,0.9079412,0.96313125,0.97684324,1.0279512,0.8218267,1.1164746
cell_0018,0.95921654,0.9913699,0.91827357,1.0258763,0.9640246,1.0574608,0.9876847,0.9625982,1.0670309,1.0074279,1.2633305,1.0405895,1.1119379,1.0767028,1.0484009,1.0155753,0.9734169,1.0140085,0.9913949,0.8670604,0.934268,0.98424953
cell_0019,0.9388043,1.057382,0.8822779,1.0444729,0.96223676,0.8217177,0.96141124,0.8256521,1.0501083,1.0109032,1.0348777,0.992569,0.9495673,1.0393615,1.1855289,1.0326984,0.9352304,0.84236366,0.96935505,1.0338106,1.3262041,0.80788547
cell_0020,0.9780156,0.99495274,1.0177019,1.0342999,0.9291808,1.012382,1.0031763,0.8484055,1.0088031,0.97238463,0.984836,0.93313664,1.0680463,0.9152408,0.9876639,0.902766,0.8691863,1.0289412,1.0178523,0.89599925,1.0952486,0.9086478
cell_0021,0.9670186,0.9799649,1.1073195,1.1105574,1.0863681,0.9771871,0.9935196,1.0563928,1.0733236,1.0209984,1.0047774,0.96659136,0.7560872,1.062904,0.8494168,0.88722754,0.94006085,1.0958959,1.0386163,1.0189579,1.0029634,0.8856105
cell_0022,1.0617274,0.9786626,1.0948253,1.066845,1.0052782,0.92835355,0.9206614,0.94101274,0.87416,1.0553854,0.8843569,1.0185496,0.965542,0.8760132,0.9181152,0.9685994,0.92007774,1.026483,0.88365954,1.0870796,0.89152044,1.1544657
cell_0023,0.94162714,0.8985452,1.0412564,1.0288858,1.0081066,0.92042685,0.9513049,1.1371883,0.98881394,1.0354414,1.0864768,1.0546125,0.94569325,0.99833137,1.0372106,1.0906594,0.9761963,1.0304354,1.038476,0.93233585,0.87997687,0.9552426
cell_0024,0.9497431,0.9671292,1.07106,0.96424615,1.0190259,1.0007879,1.038063,0.98885715,0.9928818,0.94388777,1.0240959,0.9976943,1.0296147,0.9920639,0.9825066,0.94898987,0.8950658,0.9237701,1.059149,0.8559652,0.9703864,0.99518216
cell_0025,1.0080736,0.9805007,0.9165853,0.94279397,0.9420128,0.9573032,1.0758591,0.9491049,0.95224047,1.070988,1.0220566,0.93448097,1.0406202,0.85717994,0.94145983,1.0392544,1.1017578,0.9966108,1.0016477,0.99500185,1.1535897,0.80370903
cell_0026,1.0220898,1.0273443,1.0306616,0.9463054,1.0246918,0.99093264,0.94135034,1.0722882,0.98653156,0.98552245,1.0897547,1.0552486,0.9348078,0.95844865,1.0372887,0.9321779,0.9900561,0.9668776,0.999309,1.014677,1.130634,0.86453754
cell_0027,0.9936176,0.9768807,0.92471784,1.0462648,1.0973747,1.0886751,0.97670186,1.0063671,0.8416593,1.0375825,0.9906296,1.0587951,1.1677289,0.9614908,0.8063061,1.1847856,1.092548,1.0542141,1.0538273,0.8127123,1.0887023,0.949625
cell_0028,1.055627,0.98679525,0.97199094,0.89948493,0.9534394,1.0784196,0.9518927,1.2902609,1.0206811,0.88614583,1.0381936,0.9718886,0.89831144,1.0807616,1.129728,0.9348853,0.98572326,1.2532871,1.0559691,1.0075525,0.9091558,0.9872667
cell_0029,0.93222845,1.136362,0.94776976,1.1434015,0.95934814,1.026377,0.9785264,0.96513593,1.0099348,0.931577,0.89888746,0.837964,1.0977279,1.0253748,0.86326236,1.1033982,0.9999278,0.950213,0.9439136,1.0197959,1.0418259,1.0587257
cell_0030,0.9608111,0.9678217,0.98667115,1.0925546,1.0000547,0.95762265,1.0282496,1.074505,1.0332322,0.9892657,0.9821065,0.9425489,0.9400417,1.1728675,0.92688406,1.0246099,1.1883713,1.1340535,1.1308703,0.9578596,1.1062214,0.93008596
cell_0031,0.9970981,1.0960366,1.0143425,1.0146593,1.0148087,1.0108976,1.0251402,0.97632045,0.93347776,1.01298,0.99581456,1.0342962,0.9828126,0.960846,0.9734973,0.91060454,1.0298442,1.0144408,0.9880338,0.89072406,1.1724867,1.1335213
cell_0032,0.92791986,1.0541433,0.81549436,0.98444545,1.0716468,1.0933679,1.016773,0.9776685,1.0731946,0.91896397,1.0388471,1.0446364,1.1054139,1.1169981,0.9915803,1.03118,0.93875945,0.99460137,1.0110892,1.0579984,0.9279718,1.0611991
cell_0033,1.0530559,0.97910994,0.98986816,1.0228763,0.9418072,1.0025853,1.0178189,1.0494504,0.94075656,0.9924988,1.0112861,1.1311084,0.934315,1.0880783,0.938604,1.0492291,0.93444943,1.0055633,1.0411417,0.9454351,1.004221,1.1010402
cell_0034,0.9634526,0.9954476,1.0041217,1.0322622,1.0168352,0.94144183,0.99413174,0.90588677,0.9122852,1.0448165,0.93979496,0.96034855,1.2060483,1.1658016,1.000742,0.9343851,1.0231736,1.0280261,0.8170328,0.9350443,1.0159814,1.1868441
cell_0035,0.93045646,0.8881978,1.0063456,0.91657966,1.0182513,1.0368936,1.0247275,0.94559103,1.0482888,1.0829791,1.0628933,1.0213317,1.0226711,1.0679301,0.9283662,1.0047132,0.97757614,0.897184,0.9638012,1.2104127,1.0097637,1.0711873
cell_0036,0.9821663,1.0137124,0.9161981,1.0162603,0.97844845,0.97506124,1.0077666,1.0319365,1.1267761,0.95873404,1.1070659,1.0266181,1.129483,0.89146334,1.0307484,1.0535212,0.97595775,0.96963406,0.90263385,1.1728107,0.9440556,1.1102716
cell_0037,1.0235692,0.96643984,0.84728086,1.010029,1.0648634,0.9691316,1.045896,1.0634824,1.1202008,0.97599155,1.0839261,0.9992589,1.0465785,0.9969206,1.150614,0.92538047,0.94564116,0.8260754,1.0164592,1.1688867,0.7942886,0.8537941
cell_0038,1.0356172,1.0453517,0.9544603,0.9761619,1.0142243,0.9713686,1.0168455,0.9700624,0.84645236,0.9951856,0.98622656,0.9490972,1.1578202,0.9989534,1.1665521,1.0383382,1.0125593,0.9459641,0.8919647,0.8251324,1.1698861,0.94914114
cell_0039,1.1235505,1.0531932,1.0288504,0.8198711,1.0520581,0.9914696,1.0520269,0.914826,1.0515294,1.0423322,0.9423095,0.8169191,0.82130045,1.0458604,1.0446435,1.1652877,0.87755007,0.98818713,1.0116034,1.074726,0.9830331,0.8897975
cell_0040,0.8428604,1.0204927,0.99668837,0.9286331,1.0556225,1.0098909,1.0128406,0.86258674,0.99976134,0.94771767,1.109968,0.9751473,1.1230427,1.1414112,1.1169053,1.0155821,1.1107651,1.0693389,0.97251266,1.1299236,1.0056043,1.0328661
cell_0041,0.99618137,1.057127,1.0038909,0.99611557,1.0165479,1.0359648,1.0351423,1.0081191,1.0454614,0.9727168,1.0653162,0.90397364,1.0429283,1.0433547,0.8992884,1.0047431,0.9520363,1.2198226,1.0161395,1.0256327,0.89736104,1.0515519
cell_0042,1.0013481,1.0111346,0.9927386,0.89219046,1.0418286,1.0543576,0.8957437,1.1400217,1.0126989,0.9672033,0.9664981,1.0634246,0.89264375,0.9426748,0.9935993,1.0384465,0.94454837,0.8819377,0.9580549,1.1096455,0.96824116,1.0734802
cell_0043,0.96415377,0.8953088,0.96713525,1.0118842,1.0192232,1.0699115,1.0501893,0.9681583,0.98874605,0.97935146,1.0136335,0.95640826,0.9089278,0.9189628,1.0116034,1.0253891,1.195208,0.8842012,1.0629814,0.84379476,0.91193277,1.0869453
cell_0044,0.97089446,0.9271461,0.8881016,0.9104099,0.92704743,1.0008909,0.9334261,1.0600529,0.8782827,1.0461388,0.9666618,1.048332,1.0423471,1.1478628,0.96258485,1.0737827,1.0479075,1.0678067,1.0759251,0.97088945,1.0466776,1.0557175
cell_0045,0.9551156,0.9334792,1.07345,1.0016936,1.0194094,1.158648,1.0522999,1.0906651,0.9948184,0.81568056,0.92854136,0.8971918,0.92708296,1.0821254,1.0869639,0.93524885,0.84290177,0.91989255,0.9244991,1.1740941,0.7375026,1.0185674
cell_0046,0.9719742,1.0391285,0.97534496,0.93269515,1.1056356,1.0072284,0.9460367,1.1081498,1.0557189,0.9926794,0.9764754,1.1268334,1.0234907,1.0802194,1.0434527,0.96581095,1.0456836,0.97763795,1.0893433,0.92446744,1.0007141,1.101938
cell_0047,1.023539,1.0842514,0.97374904,1.0720787,1.064951,1.010507,0.99478537,0.92661715,0.82125866,0.9765923,1.007135,0.8473105,0.83758056,0.9734222,1.035142,1.0615872,0.9618456,1.0555466,1.02711,1.1350561,0.8630024,1.1391221
cell_0048,1.0277699,0.9512016,1.0612142,1.0499101,1.0658579,0.9532689,0.9444218,0.9769415,0.9391182,1.0334085,1.0120547,0.979311,0.99344933,1.0013003,0.89403385,1.1044056,0.9579092,0.9568045,1.0027131,0.9271334,1.1769279,0.85378075
cell_0049,1.1211694,0.90264624,1.0580668,0.91879696,1.0888405,0.96653485,0.930575,1.0918317,0.982982,0.94099516,0.93416333,1.139664,0.98726106,1.0427372,1.0112845,1.1082199,0.93818426,0.90429765,1.0076238,1.0160284,1.158351,0.97458595
cell_0050,0.9147007,1.0451244,1.0394003,0.9907691,0.98020357,1.0471016,1.0036243,0.75036496,1.0235854,1.0225838,1.0129873,1.0290802,0.9599064,0.8921166,1.0343109,0.95872515,0.90029764,1.0699445,1.0658343,1.1022034,1.0509728,1.121124
cell_0051,0.9809474,0.9418236,1.0098853,0.98289376,1.0608015,1.0453238,1.0759559,0.87873083,0.88379985,0.9424712,1.005665,0.9993605,1.0213542,0.9928713,0.9819038,1.1339676,1.1047723,0.8398416,1.0143234,1.0957257,1.0613837,0.9270871
cell_0052,0.98587596,0.9368724,0.95526314,1.0035894,1.0846323,0.92803675,1.0290031,1.0394578,1.1386229,0.9114192,0.980999,0.93513113,1.0026336,1.0396351,1.0970485,0.8500644,1.1361645,1.1196308,1.0088768,0.8680572,1.01502,0.98321295
cell_0053,0.9872816,0.8820565,1.049821,0.89771146,1.1260245,1.0042465,0.9266469,0.8068993,0.9023828,1.1089399,0.91463405,0.92049026,1.15832,0.8687631,1.0889693,1.1361312,0.9382696,0.9421449,1.0539579,0.9528429,1.1390721,1.0965816
cell_0054,1.069774,1.1064734,0.9293745,0.92031616,0.9956448,1.0438879,0.98049086,0.9728264,1.0587409,0.9929921,1.0636896,0.9560254,1.0932882,1.0914087,0.9745798,1.0678424,0.9720057,1.1879265,1.0029366,0.8841014,0.81738675,0.9685607
cell_0055,0.9629306,0.99557835,1.0328834,0.9640774,0.8838858,0.92044795,1.0381879,0.8806253,0.95374495,0.9203947,1.0702667,0.98369247,0.892828,1.003319,1.0711776,1.0706549,0.959543,0.9382274,1.0172597,1.0343246,1.2620381,1.0343794
cell_0056,1.0566359,1.0624402,0.9709641,0.89600444,1.0911855,0.88834345,0.9644628,0.9285414,1.0236888,1.0619019,0.8872891,0.9287783,0.96501845,1.055193,1.0342714,1.0790182,0.9484202,0.9604452,1.042349,1.0144886,1.0355743,0.9745336
cell_0057,0.9592625,0.9544606,0.9963823,0.9416243,0.9479126,0.936288,0.9686899,0.84310484,1.057396,0.938807,0.97403973,1.0490959,0.82556397,1.0033823,0.9176618,1.0323122,0.9509759,0.89992493,1.0516757,1.224283,0.9512625,1.0624593
cell_0058,0.9306787,1.0569398,0.91939825,0.89843506,1.0029267,0.95330864,0.90904266,1.0161331,1.0457976,1.0293049,1.0084107,0.93745404,0.9572622,1.0368395,1.0194038,1.1149457,1.0587944,0.95366067,0.9782079,1.143395,0.9219781,1.1907305
cell_0059,1.0496631,1.0401292,1.017944,1.1475399,0.98002386,1.0084829,0.92178696,0.87062275,0.98469275,0.99199873,0.97820807,1.0029521,0.9508483,1.0532246,1.059174,1.0442156,1.0026357,1.1393335,0.94006896,1.0207783,0.96864676,0.86934924
cell_0060,1.0135976,0.98985416,1.0336518,0.9631021,0.92373663,0.9207966,1.0537515,1.0731866,1.0220436,1.0793264,1.0409313,0.89109176,0.89994967,0.93153036,1.0734315,1.1010611,0.99884564,1.0068727,0.98103976,0.96757996,0.7511469,1.0604628
cell_0061,0.97997296,1.0274543,0.8771396,1.010468,1.0719202,1.0613561,0.96381074,0.8453959,0.93411595,1.0207453,1.0121623,0.9119393,1.1805679,1.0231589,1.1943454,1.0510703,1.0630064,0.9014412,1.027925,1.2026981,1.0894861,0.77771294
cell_0062,1.0004563,0.77007246,0.91387904,0.9434454,1.0337981,1.0203996,0.996671,1.0516373,0.86283886,0.99085444,0.98548514,1.0477803,0.87727016,0.85528713,1.0692259,1.1286443,0.98964834,1.1193527,1.1932505,0.98190594,1.0401908,0.90928614
cell_0063,0.9091351,0.89030665,0.85146344,1.045026,1.0651764,1.100586,0.9671395,0.978669,1.0669228,0.88846827,1.0105029,1.0338607,0.97416794,0.9294574,1.1610492,0.92129993,1.021683,1.0125365,0.99243855,0.94603777,0.985241,1.2720798
cell_0064,0.95262253,0.92869407,1.0279369,0.94720125,1.0683155,1.0469996,0.9641411,1.0161667,0.9594589,1.084574,0.8832938,0.841509,0.9766454,1.0832962,1.0316844,1.0783473,1.0612769,1.1234008,0.89033616,0.8938181,1.0385941,0.93864036
cell_0065,0.97337884,0.9360302,1.0073212,1.0366056,0.9609405,1.0046111,1.0760925,1.054125,0.8784635,0.9791682,0.9725387,0.97273666,1.057204,0.8690183,0.9163534,1.0624589,1.1231179,0.96933156,1.1014462,0.9922101,0.8580953,0.8360363
cell_0066,0.9847563,1.1425077,1.0544101,0.9006062,0.90658635,0.96668786,1.0394192,0.9111784,0.95480764,1.0251291,1.006447,0.91499346,0.9437998,1.1039144,0.9753071,1.0371802,0.9521945,0.9889521,1.0152805,0.9062777,1.3238223,0.9851821
cell_0067,0.9625562,0.9246759,0.96656317,1.024998,0.9526674,0.98074776,1.1050326,1.1265557,0.9526731,0.9335314,1.0092031,1.0627257,1.0613685,0.92373127,1.0713739,0.96291286,0.98720205,1.2342207,1.1289117,0.85752034,1.0478387,0.8802982
cell_0068,0.88793474,0.9938573,1.0753918,0.93117046,1.0209851,0.9881809,1.0149096,1.0214472,0.97974515,1.0271302,1.0620717,1.0114778,0.98297477,0.90036076,0.9318894,0.9641886,0.9806856,1.0089307,1.0095922,1.2472638,0.7603023,0.8176708
cell_0069,0.9484581,1.0306472,0.856806,1.0263643,1.0285999,0.9585873,0.98325723,1.0955343,1.0022115,1.0542948,0.874314,0.95337325,1.0257288,0.9424744,1.0630378,0.9976128,0.9999714,1.0878352,1.0117415,0.91473556,1.1035372,1.0738835
cell_0070,0.91072625,1.058354,0.9131215,0.92879105,1.003478,0.9479644,0.98054373,0.9255832,1.0112001,0.8646343,1.1054163,1.0609729,1.0783942,0.91276443,1.0717723,0.944189,1.0561072,1.1763831,1.0130637,0.92877996,0.98256046,1.019561
cell_0071,1.0186343,1.0241567,0.91313505,1.0714725,1.0003821,1.0661017,0.9346293,1.0401376,1.0048658,1.0755066,0.9716178,0.90045583,1.088675,0.9734328,1.0297546,1.0513667,1.0036497,1.028972,1.101319,0.9037392,1.094424,1.0292999
cell_0072,1.0390263,1.0146203,1.0410618,0.9953595,1.0969497,1.0432026,1.0538762,0.9953968,1.1262637,0.921798,0.87357694,0.95173734,1.0630162,0.9513248,0.8869405,1.0813692,0.8488359,1.0527421,0.9398279,1.0797431,0.8852577,0.97222954
cell_0073,1.0298201,0.9110094,1.1086065,1.0292467,0.9315312,0.89843774,1.0589887,1.2215301,0.9212043,0.9417814,0.88160294,1.0797,1.1704184,0.907301,1.1026168,0.96591574,0.9361858,1.033497,1.0259746,0.90394,1.1154726,0.9000529
cell_0074,1.0238726,0.9535369,0.9166307,1.0727808,1.0377629,0.90856683,1.0133334,0.8749209,1.138934,1.0290333,1.0121452,0.9840976,0.98275864,1.0482744,1.0201256,1.0057759,1.0515319,1.1542219,1.0374507,0.9647927,0.98342705,0.96173275
cell_0075,0.9060923,1.0001856,1.0525244,1.0433275,0.943469,1.0976093,1.0702833,0.9601479,0.9393571,0.98692447,0.8917457,0.9422167,1.2380352,1.0078833,0.9417865,0.9841599,1.0438658,1.0477623,0.9813892,0.95723784,0.9469593,0.92923915
cell_0076,0.9974999,0.89681965,0.95005393,1.0990447,1.0507463,0.941913,1.0276191,0.7803602,1.0516297,1.00093,1.0493437,1.0059903,1.0680499,1.0083907,1.105142,0.9691173,0.96793437,0.85939324,0.94868326,1.1396626,0.9019035,1.0428162
cell_0077,1.0904359,0.94665897,0.97802603,0.9891511,0.965421,0.9541219,0.9428201,0.94352496,1.1174945,1.0385084,1.0873666,0.88456106,1.0769078,0.8451983,0.9295925,0.9384339,0.9799218,0.93721527,0.99265397,0.9538921,1.259765,0.8366023
cell_0078,0.9794931,0.99117845,1.0998532,0.99650395,0.9705422,0.9296507,0.973829,0.9550305,1.0358593,1.0252362,1.1904608,1.025142,0.8905608,0.9695051,0.750081,0.9924221,0.8954504,1.0850824,1.0898194,1.0053499,1.1903471,0.9663271
cell_0079,0.88759315,0.9582254,1.0038474,0.98112565,1.0358846,0.96447456,1.0273588,0.8344711,0.9676704,0.9012792,1.016283,1.0366967,0.86645824,0.8270501,1.0019766,0.94482964,1.1498235,0.9621692,1.133204,1.0850244,1.0192566,1.085155
cell_0080,0.97348535,1.0302408,1.1017858,0.91441035,0.9988782,0.94685984,1.0606904,0.8491555,0.98768777,1.0123903,0.99131775,0.976182,0.94182837,0.9096677,1.0110464,0.9941465,0.9447323,0.8619797,1.1460408,0.9566075,0.95363384,0.847472
cell_0081,1.0416393,0.9725138,0.940764,1.0172124,0.9188657,0.9554003,0.99593526,0.9782602,1.002659,0.99361825,0.96739167,1.132031,0.988593,0.95681256,1.0093192,1.0013889,1.1068579,0.9949528,0.9784433,1.0506226,0.83455884,0.9104322
cell_0082,0.9640777,0.9624655,0.8860825,1.0030338,1.0855166,0.9461301,0.948839,1.0312424,1.0020951,0.945927,1.0234929,0.99883974,0.95798403,1.1068643,1.0683842,1.044844,1.0332736,0.94064283,1.090002,1.1649947,0.977948,1.0169077
cell_0083,0.9838458,0.9507097,1.0433245,1.1180656,1.2095371,1.0862638,0.97810566,0.90077657,1.0421991,0.9801823,1.0812957,0.92387885,1.1215329,0.9998774,1.0690962,0.9102164,0.9579179,0.9045132,1.0233375,0.94266444,1.1737562,0.93594116
cell_0084,0.8846836,0.99856484,1.1471933,1.0392529,1.0793501,1.0613511,0.98606145,1.1780561,1.013063,0.9614964,0.99958307,1.0114411,0.84240425,1.0894496,1.0524718,0.95278186,0.96231157,1.0142548,1.0014224,0.8753028,1.1281024,1.1848735
cell_0085,0.9076406,1.0746604,1.0137275,0.9628873,0.9290826,0.92501855,1.0113297,0.9303128,0.96315646,1.0714613,1.0780772,0.9495255,1.0451827,1.04491,0.9510586,1.0570848,0.93430763,1.0765917,1.009869,1.027233,1.1896747,0.9976791
cell_0086,0.9565661,0.96867913,1.0989523,0.93283105,1.0026076,1.0504048,0.9826266,1.1363449,0.97777104,0.98338693,1.0142827,1.0022231,0.96603906,1.0442969,0.9763278,1.0784351,1.0539464,0.9839682,1.0588489,0.9944182,1.1374125,1.0357244
cell_0087,1.0341884,1.0061339,0.97509336,1.0370626,1.0025138,0.9841929,0.91184855,1.0183487,0.89143366,1.0255574,1.1774092,1.0457655,0.8671026,0.92351,1.01991,0.95602983,1.1486512,1.0099269,0.9481578,0.9651893,0.9049316,1.0084317
cell_0088,0.97415817,1.1425703,0.9363488,1.0261971,0.99880356,1.0190606,1.0892227,1.045648,0.94550234,0.98896015,0.9384533,0.96577096,1.0593414,0.98311687,1.1765182,1.0090438,1.1007797,0.92801774,0.9835547,0.88511014,1.1508883,1.1496485
cell_0089,0.9809293,0.9923222,0.86726904,0.9652936,1.0343615,1.0216293,0.9954076,0.9311429,0.9588978,1.0433482,1.0594627,0.99482435,0.8972613,1.0006189,1.2054425,1.0590079,1.0729489,0.88273376,1.0433036,1.070004,1.0573221,1.070902
cell_0090,1.0870652,1.1061918,0.900751,0.89311814,1.0094147,0.8805234,0.9826933,1.0283158,0.8311369,1.0055649,0.99685544,1.0760616,1.0796419,1.0621458,1.014908,0.97681993,1.0213009,0.9697053,0.9021465,0.9856658,1.0568371,1.056826
cell_0091,1.0407321,1.0123258,1.0577879,1.0225605,0.98279685,1.0627494,0.9497209,0.8273896,1.0257915,1.0333412,1.081268,0.9030142,0.75620854,1.0005603,0.91134346,1.0663743,1.0064088,0.99548966,0.81851023,0.9696528,1.0470833,0.9113554
cell_0092,0.8980153,0.9657749,1.0285424,0.93522704,1.0443462,0.9755862,1.1195512,1.0403965,1.0287845,1.0044254,0.8601071,1.0268563,1.0711828,0.98965496,0.9559568,0.86790633,1.1243231,1.1021364,0.9558276,0.8615755,0.91950977,0.9225096
cell_0093,0.9720629,1.0111539,0.87460107,1.0167507,1.1357249,0.90475416,1.0233033,1.046027,0.83273613,0.9840852,0.9144766,0.937877,1.1303337,0.9416894,1.055832,1.1210996,0.91827637,1.1634936,0.9821701,0.96516854,1.1058253,0.9796116
cell_0094,1.0061928,1.009774,0.91427267,0.9679822,1.0657463,0.9960936,1.0457046,0.85228866,1.0218624,0.98136294,0.9935178,0.9943735,1.1792425,0.9465864,1.0285845,1.1172047,1.0278847,1.0306047,0.95239455,1.018865,0.9617746,0.9855985
cell_0095,1.0520222,1.0330583,1.0071901,1.0177377,0.85581136,0.98350084,0.9636836,0.9483848,1.0873184,1.0584565,0.8385182,1.013635,1.0896151,0.91112226,0.9709194,1.008567,1.0769606,0.87802273,0.99565953,1.090472,1.0104662,1.2921038
cell_0096,1.0325878,1.0139178,1.0799285,0.92307216,1.0241115,1.0244988,0.9823036,0.85642534,0.95138323,0.91976213,1.0222614,1.0235811,0.9633105,1.0867891,1.0730609,0.891908,1.0591989,1.0094974,1.0082122,0.94889253,0.9539969,1.0104111
cell_0097,0.94840044,0.93981344,0.8865693,1.0008221,1.0624642,1.0491809,0.95365506,1.1237715,0.8160782,0.9095391,1.1377712,0.9955108,0.84203637,0.93731487,0.9527213,1.1732233,1.0844132,1.031742,0.98038346,0.79307175,1.1766982,1.1512456
cell_0098,1.0255524,0.98971665,1.0464245,0.99420613,1.10014,1.1205369,1.0240046,0.9106985,1.0114868,1.0158476,0.95260906,1.0298781,1.1023635,0.9756107,1.0291942,0.9943411,0.9667522,1.0685798,0.99283504,1.0037755,1.068141,1.0903887
cell_0099,1.009738,0.944757,1.0425813,0.94915926,1.0121295,0.9427632,0.958907,1.0586288,1.0383824,1.0570242,0.90835166,0.92788446,1.0903927,1.0438454,0.9851904,1.0466402,1.1147127,1.057167,1.0280056,1.1163615,1.0826753,1.0549183
cell_0100,1.0443308,0.99859333,1.0401205,0.9800162,1.0641013,0.9350605,1.0358356,1.0589778,0.95078105,0.9512395,1.0232562,0.9289057,1.1186011,0.94346607,0.8352166,1.1955348,1.042329,1.0393447,1.034385,1.0709556,1.1338966,1.0565584
